"Response ID","Date submitted","Last page","Start language","Seed","Date started","Date last action","Referrer URL","Do you believe that pandemic Covid-19 exists in your area? ","What is your firm belief about Covid-19?","In your opinion what is the best way to avoid /fight the pandemic?","On a scale of 1-5 (where 1 is highly affected and 5 is not affected) how much do you think your family and livelihoods are affected by covid-19 pandemic problem?","Which of the following are the symptoms of Covid-19?","In case you feel any of the above symptoms what will be your first reaction","Which of the following statements do you agree with?","In your opinion what kind of information regarding Covid-19 is most reliable and should be followed most?","Do you think women are most vulnerable to the issues and risks associated with Covid-19 and its social and economic impacts?","Do you know about official government helpline numbers to get CovidOVID-19 related information and support? ","On a scale of 1-5 how accessible are government services and facilities on covid-19 for you?","In your opinion, how should government support citizens to fight against coronavirus?","In your opinion, what role can you play in fighting Coronavirus? ","Which of the following preventive measures do you follow to keep yourself and your family safe from contracting the virus? ","If the government runs a Coronavirus vaccination campaign in your district, would you immunize yourself?","Do you find too much fake news, rumors, and misinformation on Covid-19 circulating in your community? ","Do you think that local community awareness programs on Covid-19 can help build better community response against the pandemic?"
"1","","","en","1374181793","2021-11-08 08:15:51","2021-11-08 08:15:51","","","","","","","","","","","","","","","","","",""
"2","","","en","1349009706","2021-11-08 08:16:51","2021-11-08 08:16:51","","","","","","","","","","","","","","","","","",""
"3","2021-11-08 08:30:53","1","en","315670691","2021-11-08 08:30:17","2021-11-08 08:30:53","","","","","","","","","","","","","","","","","",""
"4","","","en","271833936","2021-11-08 08:30:22","2021-11-08 08:30:22","","","","","","","","","","","","","","","","","",""
"5","2021-11-08 08:35:45","1","en","1668073146","2021-11-08 08:32:38","2021-11-08 08:35:45","","Yes","It is a fatal pandemic preventable through SoPs","All of above","3","Loss of smell or taste","Visit government hospital","Covid-19 is a serious threat to human health and safety in present times.","Information shared by government health authorities.","Maybe","Yes, I learned it through ALPs awareness sessions and IEC materials delivered in our area","","Free mass testing facilities at primary health care centers","Raise awareness among the others","Wear a mask when going out ","Yes","Yes","Yes"
"6","2021-11-08 08:39:00","1","en","2067961521","2021-11-08 08:33:00","2021-11-08 08:39:00","","Yes","It is a fatal pandemic preventable through SoPs","All of above","3","Difficult breathing","Self-quarantine","Covid-19 can be avoided by taking precautionary measures, i.e wearing mask, social distancing, sanitizing, etc.","Information shared by friends and family","Yes","I have heard about it through other sources","4","Mass social security and family income support","Raise awareness among the others","Avoid public spaces (bazaars, political gatherings, etc.)","Yes","Maybe","Yes"
"7","2021-11-08 08:37:59","1","en","1893734806","2021-11-08 08:33:33","2021-11-08 08:37:59","","Yes","It is a fatal pandemic preventable through SoPs","All of above","3","Loss of smell or taste","Getting tested for Covid","Covid-19 can be avoided by taking precautionary measures, i.e wearing mask, social distancing, sanitizing, etc.","Information shared by government health authorities.","Yes","I have heard about this but don’t know the helpline number","1","Free mass testing facilities at primary health care centers","Follow SOPs of government","Avoid public spaces (bazaars, political gatherings, etc.)","Yes","Yes","Yes"
"8","","","en","375281570","2021-11-08 08:33:36","2021-11-08 08:33:36","","","","","","","","","","","","","","","","","",""
"9","2021-11-08 08:38:33","1","en","2082350476","2021-11-08 08:35:32","2021-11-08 08:38:33","","Maybe","It is a fatal pandemic preventable through SoPs","Getting vaccinated","4","Loss of smell or taste","Getting tested for Covid","Covid-19 can be avoided by taking precautionary measures, i.e wearing mask, social distancing, sanitizing, etc.","Information shared by government health authorities.","Yes","I have heard about this but don’t know the helpline number","3","Control prices and market for food and medicine","Follow SOPs of government","Wear a mask when going out ","Yes","Yes","Yes"
"10","2021-11-08 08:50:50","1","en","2036221036","2021-11-08 08:35:53","2021-11-08 08:50:50","","Maybe","It is a fatal pandemic preventable through SoPs","All of above","2","Difficult breathing","Visit government hospital","Covid-19 can be more fatal for children and elderly.","Information shared by government health authorities.","Maybe","I have heard about this but don’t know the helpline number","3","Control prices and market for food and medicine","Stop spreading rumors/misinformation","Avoid public spaces (bazaars, political gatherings, etc.)","Yes","Yes","Yes"
"11","2021-11-08 08:40:37","1","en","423130273","2021-11-08 08:37:09","2021-11-08 08:40:37","","Yes","It is a fatal pandemic preventable through SoPs","All of above","1","Loss of smell or taste","Visit private hospital","Covid-19 can be avoided by taking precautionary measures, i.e wearing mask, social distancing, sanitizing, etc.","Information shared by government health authorities.","Yes","No, I haven’t heard about","1","Free mass vaccinations","Follow SOPs of government","Wear a mask when going out ","Yes","Maybe","Yes"
"12","2021-11-08 08:53:54","1","en","2097391028","2021-11-08 08:38:57","2021-11-08 08:53:54","","Yes","It is a fatal pandemic preventable through SoPs","All of above","5","Loss of smell or taste","Getting tested for Covid","Covid-19 is a serious threat to human health and safety in present times.","Information shared by government health authorities.","Maybe","I have heard about this but don’t know the helpline number","4","Mass social security and family income support","Contribute more in charity and community services","Wear a mask when going out ","Yes","Yes","Yes"
"13","2021-11-08 08:52:24","1","en","450447317","2021-11-08 08:40:19","2021-11-08 08:52:24","","Maybe","It is a fatal pandemic preventable through SoPs","All of above","3","Difficult breathing","Self-quarantine","We must get a vaccine to prevent us from getting Covid-19.","Information shared by government health authorities.","Yes","I have heard about it through other sources","3","Control prices and market for food and medicine","Raise awareness among the others","Avoid public spaces (bazaars, political gatherings, etc.)","Yes","No","Yes"
"14","2021-11-08 08:46:18","1","en","1131346423","2021-11-08 08:42:17","2021-11-08 08:46:18","","Yes","It is a fatal pandemic preventable through SoPs","All of above","3","Loss of smell or taste","Getting tested for Covid","Covid-19 can be more fatal for children and elderly.","Information shared by government health authorities.","Maybe","I have heard about this but don’t know the helpline number","3","Free mass testing facilities at primary health care centers","Follow SOPs of government","Maintain social distancing","Yes","Yes","Yes"
"15","","","en","1749066581","2021-11-08 08:42:36","2021-11-08 08:42:36","","","","","","","","","","","","","","","","","",""
"16","","","en","1544341207","2021-11-08 08:44:03","2021-11-08 08:44:03","","","","","","","","","","","","","","","","","",""
"17","2021-11-08 08:59:55","1","en","1218795529","2021-11-08 08:55:22","2021-11-08 08:59:55","","No","It is a fatal pandemic preventable through SoPs","All of above","5","I don’t know","Taking home remedies","Covid-19 can be avoided by taking precautionary measures, i.e wearing mask, social distancing, sanitizing, etc.","Information shared by community/religious leaders.","No","No, I haven’t heard about","5","Others","Stop spreading rumors/misinformation","Wear a mask when going out ","Yes","Yes","Yes"
"18","","","en","1555600554","2021-11-08 08:56:02","2021-11-08 08:56:02","","","","","","","","","","","","","","","","","",""
"19","2021-11-08 09:04:16","1","en","1250396033","2021-11-08 09:00:27","2021-11-08 09:04:16","","Yes","It is a fatal pandemic preventable through SoPs","All of above","4","Body and headache","Getting tested for Covid","Covid-19 can be avoided by taking precautionary measures, i.e wearing mask, social distancing, sanitizing, etc.","Information shared by community organizations and NGOs.","Maybe","I have heard about it through other sources","4","Free mass vaccinations","Stop spreading rumors/misinformation","Frequently wash my hands with soap or use sanitizers ","Yes","Yes","Yes"
"20","2021-11-08 09:09:42","1","en","1296888311","2021-11-08 09:00:47","2021-11-08 09:09:42","","Yes","Not Sure about it","Social distancing","3","Body and headache","Getting tested for Covid","Covid-19 can be avoided by taking precautionary measures, i.e wearing mask, social distancing, sanitizing, etc.","I don’t know","Maybe","","1","Control prices and market for food and medicine","Raise awareness among the others","Maintain social distancing","Yes","Yes","Yes"
"21","","","en","396819966","2021-11-08 09:00:59","2021-11-08 09:00:59","","","","","","","","","","","","","","","","","",""
"22","2021-11-08 09:31:39","1","en","1260312931","2021-11-08 09:09:07","2021-11-08 09:31:39","","Yes","It is a fatal pandemic preventable through SoPs","All of above","5","Difficult breathing","Getting tested for Covid","Covid-19 can be avoided by taking precautionary measures, i.e wearing mask, social distancing, sanitizing, etc.","Information shared by government health authorities.","Maybe","I have heard about this but don’t know the helpline number","3","Control prices and market for food and medicine","Stop spreading rumors/misinformation","Frequently wash my hands with soap or use sanitizers ","Yes","Yes","Yes"
"23","2021-11-08 09:53:54","1","en","344898413","2021-11-08 09:28:20","2021-11-08 09:53:54","","Maybe","Not Sure about it","Getting vaccinated","5","I don’t know","Self-quarantine","Covid-19 can be avoided by taking precautionary measures, i.e wearing mask, social distancing, sanitizing, etc.","I don’t know","Maybe","I have heard about this but don’t know the helpline number","1","Control prices and market for food and medicine","Follow SOPs of government","Wear a mask when going out ","Yes","Maybe","Yes"
"24","","","en","1726870417","2021-11-08 09:32:09","2021-11-08 09:32:09","","","","","","","","","","","","","","","","","",""
"25","","","en","1100969034","2021-11-08 09:38:26","2021-11-08 09:38:26","","","","","","","","","","","","","","","","","",""
"26","2021-11-08 09:50:49","1","en","730518287","2021-11-08 09:43:53","2021-11-08 09:50:49","","Yes","It is a fatal pandemic preventable through SoPs","All of above","5","Loss of smell or taste","Visit government hospital","We must get a vaccine to prevent us from getting Covid-19.","Information shared by government health authorities.","Yes","I have heard about this but don’t know the helpline number","1","Free mass vaccinations","Follow SOPs of government","Wear a mask when going out ","Yes","Maybe","Yes"
"27","2021-11-08 12:24:23","1","en","1877752472","2021-11-08 09:50:10","2021-11-08 12:24:23","","Yes","It is a fatal pandemic preventable through SoPs","All of above","5","Loss of smell or taste","Self-quarantine","Covid-19 can be avoided by taking precautionary measures, i.e wearing mask, social distancing, sanitizing, etc.","Information shared by government health authorities.","Yes","No, I haven’t heard about","3","Control prices and market for food and medicine","Follow SOPs of government","Maintain social distancing","Yes","Maybe","Yes"
"28","2021-11-08 10:14:37","1","en","357540828","2021-11-08 10:03:13","2021-11-08 10:14:37","","No","It is a fatal pandemic preventable through SoPs","All of above","4","Difficult breathing","Getting tested for Covid","We must get a vaccine to prevent us from getting Covid-19.","Information shared by government health authorities.","Maybe","I have heard about it through other sources","4","Free mass testing facilities at primary health care centers","Follow SOPs of government","Maintain social distancing","","Yes","Yes"
"29","2021-11-08 10:39:49","1","en","1108433495","2021-11-08 10:34:34","2021-11-08 10:39:49","","Yes","It is a fatal pandemic preventable through SoPs","All of above","3","Coughing and sneezing","Visit government hospital","Covid-19 is a serious threat to human health and safety in present times.","Information shared by government health authorities.","Yes","No, I haven’t heard about","5","Free mass testing facilities at primary health care centers","Follow SOPs of government","Maintain social distancing","Yes","No","Yes"
"30","2021-11-08 11:02:43","1","en","474255782","2021-11-08 10:56:54","2021-11-08 11:02:43","","Yes","It is a fatal pandemic preventable through SoPs","I don’t care","4","Loss of smell or taste","Getting tested for Covid","There is no treatment for Covid-19, we should only take preventive measures.","Information shared by government health authorities.","Maybe","I have heard about it through other sources","3","Free mass testing facilities at primary health care centers","Follow SOPs of government","Frequently disinfect homes, shops, offices, surfaces, etc. ","","Yes","Yes"
"31","2021-11-08 11:24:28","1","en","784570108","2021-11-08 11:19:07","2021-11-08 11:24:28","","Yes","It is a fatal pandemic preventable through SoPs","All of above","4","Body and headache","Getting tested for Covid","We must get a vaccine to prevent us from getting Covid-19.","Information shared by government health authorities.","Maybe","Yes, I learned it through ALPs awareness sessions and IEC materials delivered in our area","4","Free mass vaccinations","Follow SOPs of government","Wear a mask when going out ","Yes","Maybe","Yes"
"32","","","en","696493090","2021-11-08 12:29:02","2021-11-08 12:29:02","","","","","","","","","","","","","","","","","",""
"33","","","en","992048704","2021-11-08 12:45:26","2021-11-08 12:45:26","","","","","","","","","","","","","","","","","",""
"34","2021-11-08 13:29:19","1","en","1276204321","2021-11-08 13:19:21","2021-11-08 13:29:19","","No","It is a fatal pandemic preventable through SoPs","All of above","3","Loss of smell or taste","Taking home remedies","We must get a vaccine to prevent us from getting Covid-19.","Information shared by friends and family","Yes","I have heard about this but don’t know the helpline number","3","Free mass vaccinations","Follow SOPs of government","Wear a mask when going out ","Yes","No","Yes"
"35","2021-11-08 19:16:48","1","en","498362959","2021-11-08 19:12:37","2021-11-08 19:16:48","","Yes","It is a fatal pandemic preventable through SoPs","All of above","2","Difficult breathing","Getting tested for Covid","Covid-19 can be avoided by taking precautionary measures, i.e wearing mask, social distancing, sanitizing, etc.","Information shared by government health authorities.","Yes","I have heard about it through other sources","2","Free mass testing facilities at primary health care centers","Follow SOPs of government","Wear a mask when going out ","Yes","Yes","Yes"
"36","2021-11-09 04:28:01","1","en","699599088","2021-11-09 04:23:18","2021-11-09 04:28:01","","Maybe","It is a fatal pandemic preventable through SoPs","All of above","2","Loss of smell or taste","Getting tested for Covid","We must get a vaccine to prevent us from getting Covid-19.","I don’t know","Maybe","Yes, I learned it through ALPs awareness sessions and IEC materials delivered in our area","4","Free mass vaccinations","Follow SOPs of government","Wear a mask when going out ","Yes","Yes","Yes"
"37","2021-11-09 07:05:43","1","en","1000329787","2021-11-09 07:03:02","2021-11-09 07:05:43","","Maybe","It is a fatal pandemic preventable through SoPs","All of above","1","I don’t know","Self-quarantine","Covid-19 is a serious threat to human health and safety in present times.","Information shared by government health authorities.","No","I have heard about it through other sources","2","Free mass vaccinations","Follow SOPs of government","Wear a mask when going out ","Yes","Yes",""
"38","2021-11-09 07:29:56","1","en","653094905","2021-11-09 07:23:45","2021-11-09 07:29:56","","Maybe","It is a fatal pandemic preventable through SoPs","All of above","1","Loss of smell or taste","Getting tested for Covid","There is no treatment for Covid-19, we should only take preventive measures.","Information shared by government health authorities.","Maybe","No, I haven’t heard about","5","Control prices and market for food and medicine","Follow SOPs of government","Wear a mask when going out ","Yes","Yes","Yes"

